node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1551,PTEN,gene,0.0,0.479131893,0.479131893
1552,PTGER1,gene,0.0,0.0,0.0
1553,PTGER2,gene,0.0,0.0,0.0
1554,PTGER3,gene,0.0,0.0,0.0
1555,PTGFR,gene,0.2739734194,0.0,0.2739734194
1556,PTGS2,gene,0.0,10.879923688,10.879923688
1557,PTK2,gene,2.0966062039999995,4.1607395426,6.2573457465999995
1558,PTK2B,gene,0.9456319499999999,1.816780965,2.7624129149999996
1559,PTPN1,gene,0.46665294319999995,0.0,0.46665294319999995
1560,PTPN11,gene,1.5688537184,3.2788979422,4.8477516606
1561,PTPN2,gene,1.2546340185999998,0.0,1.2546340185999998
1562,PTPN5,gene,1.833830272,0.0,1.833830272
1563,PTPN6,gene,0.20317342,0.0,0.20317342
1564,PTPN7,gene,1.560567785,0.0,1.560567785
1565,PTPRC,gene,0.930965652,0.0,0.930965652
1566,PTPRF,gene,0.48472998763999986,0.0,0.48472998763999986
1567,PTPRR,gene,1.4792638372,0.0,1.4792638372
1568,PXN,gene,0.0,0.2319729167999999,0.2319729167999999
1569,PYCARD,gene,0.0,0.3109190448,0.3109190448
1570,PYDC1,gene,0.0,0.0,0.0
1571,PYDC2,gene,0.0,0.0,0.0
1572,PYGB,gene,0.0,0.0,0.0
1573,PYGL,gene,0.0,0.0,0.0
1574,PYGM,gene,0.0,0.0,0.0
1575,RAB10,gene,0.0,0.0,0.0
1576,RAB11B,gene,0.0,0.0,0.0
1577,RAB14,gene,0.0,0.0,0.0
1578,RAB2A,gene,0.0,0.0,0.0
1579,RAB5A,gene,0.0,0.0,0.0
1580,RAB5B,gene,0.0,0.0,0.0
1581,RAB5C,gene,0.0,0.0,0.0
1582,RAB8A,gene,0.0,0.0,0.0
1583,RAC1,gene,2.9376321935999994,1.0655061178,4.003138311399999
1584,RAC2,gene,0.0,0.78490799852,0.78490799852
1585,RAC3,gene,0.5174060149999999,0.44632038760000003,0.9637264026
1586,RAF1,gene,2.1171150186,2.756104518,4.8732195366
1587,RAG1,gene,0.0,0.0,0.0
1588,RAG2,gene,0.0,0.0,0.0
1589,RALA,gene,0.0,0.0,0.0
1590,RALB,gene,0.2428188152,0.0,0.2428188152
1591,RALBP1,gene,0.0,0.0,0.0
1592,RALGDS,gene,0.0,0.0,0.0
1593,RAP1A,gene,1.8027417698,0.0,1.8027417698
1594,RAP1B,gene,0.972801542,0.0,0.972801542
1595,RAP1GAP,gene,0.0,0.0,0.0
1596,RAPGEF1,gene,0.0,0.2063620172,0.2063620172
1597,RAPGEF2,gene,0.0,0.0,0.0
1598,RAPGEF3,gene,0.0,0.0,0.0
1599,RAPGEF4,gene,0.0,0.0,0.0
1600,RAPGEF5,gene,0.0,0.0,0.0
1601,RAPGEF6,gene,0.0,0.0,0.0
1602,RARA,gene,0.0,3.7283619359999998,3.7283619359999998
1603,RASA1,gene,0.0,0.0,0.0
1604,RASA2,gene,0.0,0.0,0.0
1605,RASA3,gene,0.0,0.0,0.0
1606,RASA4,gene,0.0,0.0,0.0
1607,RASAL1,gene,0.0,0.0,0.0
1608,RASAL2,gene,0.0,0.0,0.0
1609,RASAL3,gene,0.0,0.0,0.0
1610,RASGRF1,gene,0.218966477,0.0,0.218966477
1611,RASGRF2,gene,0.0,0.0,0.0
1612,RASGRP1,gene,0.0,0.0,0.0
1613,RASGRP2,gene,0.0,0.0,0.0
1614,RASGRP3,gene,0.0,0.0,0.0
1615,RASGRP4,gene,0.0,0.0,0.0
1616,RASSF1,gene,0.0,0.2251170784599999,0.2251170784599999
1617,RASSF2,gene,0.0,0.0,0.0
1618,RASSF4,gene,0.0,0.0,0.0
1619,RASSF5,gene,0.0,0.0,0.0
1620,RASSF6,gene,0.0,0.0,0.0
1621,RBCK1,gene,0.0,0.0,0.0
1622,RBL1,gene,0.0,0.0,0.0
1623,RBL2,gene,0.0,0.0,0.0
1624,RBPJ,gene,0.7641613093399999,3.7170291395999997,4.48119044894
1625,RBPJL,gene,0.2311251127999999,5.7330617456,5.9641868584
1626,RBX1,gene,0.0,0.0,0.0
1627,RCAN1,gene,0.0,0.0,0.0
1628,RCAN2,gene,0.0,0.5780618139999998,0.5780618139999998
1629,RCHY1,gene,0.0,0.0,0.0
1630,REL,gene,0.0,0.0,0.0
1631,RELA,gene,20.980329166599997,9.354998632733999,30.335327799333996
1632,RELB,gene,0.0,0.0,0.0
1633,RELN,gene,0.0,0.0,0.0
1634,RET,gene,0.561987204,6.7042786981999996,7.2662659022
1635,RFNG,gene,0.0,0.0,0.0
1636,RGL1,gene,0.0,0.0,0.0
1637,RGL2,gene,0.0,0.235429959,0.235429959
1638,RGMA,gene,0.0,0.0,0.0
1639,RGMB,gene,0.0,0.0,0.0
1640,RGS14,gene,0.0,0.0,0.0
1641,RGS2,gene,0.0,0.226012102,0.226012102
1642,RHEB,gene,1.4859327598,0.0,1.4859327598
1643,RHOA,gene,2.7240336595999994,2.6488491279999997,5.372882787599999
1644,RHOQ,gene,0.0,0.2168207165999999,0.2168207165999999
1645,RICTOR,gene,0.0,0.443575522,0.443575522
1646,RIN1,gene,0.95575655,0.9285333118,1.8842898618000001
1647,RIPK1,gene,0.0,0.20491003722,0.20491003722
1648,RIPK2,gene,0.0,0.0,0.0
1649,RIPK3,gene,0.0,0.0,0.0
1650,RLN1,gene,0.0,0.0,0.0
1651,RLN2,gene,0.0,0.0,0.0
1652,RLN3,gene,0.0,0.0,0.0
1653,RNASEL,gene,0.0,0.0,0.0
1654,RNF125,gene,0.0,0.0,0.0
1655,RNF152,gene,0.0,0.0,0.0
1656,RNF31,gene,0.0,0.0,0.0
1657,RNF43,gene,0.0,0.0,0.0
1658,ROCK1,gene,0.52545197,0.25430679,0.77975876
1659,ROCK2,gene,0.517420144,0.347561606,0.8649817500000001
1660,ROR1,gene,0.0,0.0,0.0
1661,ROR2,gene,0.0,0.0,0.0
1662,RPRM,gene,0.0,0.0,0.0
1663,RPS6,gene,0.0,0.224259992,0.224259992
1664,RPS6KA1,gene,0.0,0.0,0.0
1665,RPS6KA2,gene,0.0,0.7111023456,0.7111023456
1666,RPS6KA4,gene,1.5473555038,1.092759032,2.6401145358
1667,RPS6KA5,gene,1.521901396,1.677522245,3.199423641
1668,RPS6KB1,gene,0.5334242184000001,3.9592393286,4.492663547
1669,RPS6KB2,gene,0.7879516512,3.8928740428,4.680825694
1670,RPTOR,gene,2.2554194352,3.6346743571999998,5.8900937924
1671,RRAGA,gene,1.1168678399999998,0.0,1.1168678399999998
1672,RRAGC,gene,0.4199070624,0.7786231321999999,1.1985301946
1673,RRAGD,gene,0.74875031,0.319699254,1.068449564
1674,RRAS,gene,0.7985792988,0.4893030459999999,1.2878823447999999
