source,target,type,weight,source_name,target_name
741,1729,gene-gene,0.2097131887999999,GRB2,SH2B3
762,1438,gene-gene,0.214539554,GRM2,PLCB4
763,1435,gene-gene,0.20865307766,GRM3,PLCB1
768,1437,gene-gene,0.2421066242,GRM8,PLCB3
768,1438,gene-gene,0.2417153356,GRM8,PLCB4
774,1922,gene-gene,0.2291966559999999,GTSE1,TP53
776,1513,gene-gene,0.2164555919999999,GYS2,PRKAA2
778,1219,gene-gene,0.208603232,HBEGF,MMP2
778,1222,gene-gene,0.336774912,HBEGF,MMP9
782,1396,gene-gene,0.240773538,HCK,PIK3CA
782,1402,gene-gene,0.218226106,HCK,PIK3R3
782,1733,gene-gene,0.2093271692,HCK,SHC2
783,784,gene-gene,0.7426153440000001,HDAC1,HDAC2
783,785,gene-gene,0.977023494,HDAC1,HDAC3
783,1257,gene-gene,0.686990542,HDAC1,NCOR1
783,1258,gene-gene,0.438057716,HDAC1,NCOR2
783,1624,gene-gene,0.61413252,HDAC1,RBPJ
783,1625,gene-gene,0.4989395319999999,HDAC1,RBPJL
783,1687,gene-gene,0.82005415,HDAC1,RXRA
783,1688,gene-gene,0.717085352,HDAC1,RXRB
783,1689,gene-gene,0.653808092,HDAC1,RXRG
783,1883,gene-gene,0.622632344,HDAC1,THRA
783,1884,gene-gene,0.6295918800000001,HDAC1,THRB
783,1890,gene-gene,0.540154966,HDAC1,TLE1
783,1891,gene-gene,0.5230141340000001,HDAC1,TLE2
783,1892,gene-gene,0.458107066,HDAC1,TLE3
783,1893,gene-gene,0.492061212,HDAC1,TLE4
783,1894,gene-gene,0.575566804,HDAC1,TLE6
783,1743,gene-gene,0.5358318019999999,HDAC1,SIN3A
783,2029,drug-gene,1.0,HDAC1,Romidepsin
783,2034,drug-gene,1.0,HDAC1,Vorinostat
784,785,gene-gene,0.656810506,HDAC2,HDAC3
784,1257,gene-gene,0.4062685339999999,HDAC2,NCOR1
784,1258,gene-gene,0.477418578,HDAC2,NCOR2
784,1624,gene-gene,0.3493106039999999,HDAC2,RBPJ
784,1625,gene-gene,0.612503366,HDAC2,RBPJL
784,1687,gene-gene,0.825343206,HDAC2,RXRA
784,1688,gene-gene,0.747824344,HDAC2,RXRB
784,1689,gene-gene,0.85529932,HDAC2,RXRG
784,1883,gene-gene,0.510758154,HDAC2,THRA
784,1884,gene-gene,0.639806988,HDAC2,THRB
784,1890,gene-gene,0.5538968959999999,HDAC2,TLE1
784,1891,gene-gene,0.54555273,HDAC2,TLE2
784,1892,gene-gene,0.4520999339999999,HDAC2,TLE3
784,1893,gene-gene,0.546441694,HDAC2,TLE4
784,1894,gene-gene,0.46361511,HDAC2,TLE6
784,1743,gene-gene,0.692876906,HDAC2,SIN3A
784,2029,drug-gene,1.0,HDAC2,Romidepsin
784,2034,drug-gene,1.0,HDAC2,Vorinostat
785,1257,gene-gene,0.521658422,HDAC3,NCOR1
785,1687,gene-gene,0.741880776,HDAC3,RXRA
785,1688,gene-gene,0.71433348,HDAC3,RXRB
785,1689,gene-gene,0.74336181,HDAC3,RXRG
785,1883,gene-gene,0.460968748,HDAC3,THRA
785,1884,gene-gene,0.531200352,HDAC3,THRB
785,1743,gene-gene,0.6688103780000001,HDAC3,SIN3A
785,2034,drug-gene,1.0,HDAC3,Vorinostat
786,1199,gene-gene,0.579057722,HDAC4,MEF2A
786,1200,gene-gene,0.7437997,HDAC4,MEF2B
786,1201,gene-gene,0.4324870759999999,HDAC4,MEF2C
786,1202,gene-gene,0.446848446,HDAC4,MEF2D
786,2029,drug-gene,1.0,HDAC4,Romidepsin
788,1624,gene-gene,0.22945158034,HES1,RBPJ
789,1624,gene-gene,0.2389890439999999,HES5,RBPJ
790,1624,gene-gene,0.295720685,HEY1,RBPJ
793,1010,gene-gene,0.3029746679999999,HGF,KDR
793,1014,gene-gene,0.4187191419999999,HGF,KIT
793,1318,gene-gene,0.2166279072,HGF,NTRK1
793,1319,gene-gene,0.284098756,HGF,NTRK2
793,1320,gene-gene,0.351507696,HGF,NTRK3
793,1361,gene-gene,0.281494322,HGF,PDGFRA
793,1362,gene-gene,0.41245611,HGF,PDGFRB
793,1634,gene-gene,0.2478503388,HGF,RET
793,1860,gene-gene,0.312497496,HGF,TEK
797,800,gene-gene,0.2469071645,HIF1A,HK2
797,801,gene-gene,0.2106534111999999,HIF1A,HK3
797,1075,gene-gene,0.2101160848,HIF1A,LDHAL6A
797,1078,gene-gene,0.2957507664,HIF1A,LDHC
797,1290,gene-gene,0.208816558,HIF1A,NOS2
797,1291,gene-gene,0.287008278,HIF1A,NOS3
797,1298,gene-gene,0.2142269588,HIF1A,NPPA
797,1713,gene-gene,0.275528998,HIF1A,SERPINE1
797,1860,gene-gene,0.39223315,HIF1A,TEK
797,1862,gene-gene,0.24256866,HIF1A,TF
797,1968,gene-gene,0.305226204,HIF1A,VEGFA
797,1268,gene-gene,0.490377752,HIF1A,NFKB1
797,1396,gene-gene,0.408871562,HIF1A,PIK3CA
797,1397,gene-gene,0.306144466,HIF1A,PIK3CB
797,1398,gene-gene,0.417508482,HIF1A,PIK3CD
797,1400,gene-gene,0.2569142206,HIF1A,PIK3R1
797,1401,gene-gene,0.4061109779999999,HIF1A,PIK3R2
797,1402,gene-gene,0.485002634,HIF1A,PIK3R3
797,1631,gene-gene,0.3201773308,HIF1A,RELA
797,1813,gene-gene,0.384594302,HIF1A,STAT3
797,1884,gene-gene,0.3202386299999999,HIF1A,THRB
803,1515,gene-gene,0.207771697,HMGCR,PRKAB2
803,1519,gene-gene,0.2313048713999999,HMGCR,PRKAG1
803,1520,gene-gene,0.24648552,HMGCR,PRKAG2
804,1462,gene-gene,0.262708672,HMGCS1,PPARA
804,1687,gene-gene,0.434782302,HMGCS1,RXRA
804,1688,gene-gene,0.48361346,HMGCS1,RXRB
804,1689,gene-gene,0.40351979,HMGCS1,RXRG
805,1687,gene-gene,0.4058518299999999,HMGCS2,RXRA
805,1688,gene-gene,0.452073576,HMGCS2,RXRB
805,1689,gene-gene,0.478257912,HMGCS2,RXRG
808,1396,gene-gene,0.3121439144,HOMER1,PIK3CA
808,1397,gene-gene,0.275557823,HOMER1,PIK3CB
808,1402,gene-gene,0.266020004,HOMER1,PIK3R3
810,1396,gene-gene,0.2323191329999999,HOMER3,PIK3CA
