gene_idx,gene_name,degree
452,CYLD,0.26451933267721345
453,CYP17A1,0.1924848866
454,CYP27A1,1.8346573331999998
455,CYP7A1,1.273272034
456,CYP8B1,1.7220775837999998
457,CYSLTR2,0.052096020480602204
458,CYTH1,0.0332995576016137
459,CYTH2,3.107139394e-07
460,CYTH3,1.214344109724e-05
461,CYTH4,0.0346162178216714
462,DAAM1,0.24383408512355814
463,DAAM2,0.1289280535732599
464,DAB2IP,0.5214486995200001
465,DAPP1,0.8863432161999999
466,DAXX,0.06258175956656353
467,DBI,1.9338625048
468,DCHS1,0.021255691931820715
469,DCHS2,0.012940674748848817
470,DCN,0.014154668436124715
471,DDB2,0.1640111892
472,DDIT3,1.552498668
473,DDIT4,0.0862255577863929
474,DDX58,0.21351911292674564
475,DEFB4A,2.1122685469999998
476,DEFB4B,2.2047438296
477,DEPDC5,0.17734125344829457
478,DEPTOR,0.696898942
479,DHH,0.02592378176200139
480,DHX33,0.024850151193061457
481,DHX58,0.00029056099959845
482,DIAPH1,0.1363815945999999
483,DISP1,0.0240990985765256
484,DKK1,0.0012952576453445453
485,DKK2,3.64355944085254e-06
486,DKK4,0.0705149245720929
487,DLG1,1.7067392710199996
488,DLG2,0.03506595895388393
489,DLG4,0.09259587535585463
490,DLG5,0.10574442231292774
491,DLL1,0.03781767987070623
492,DLL3,0.009867822649700498
493,DLL4,0.00031964231093759606
494,DNM1L,0.0061356218288632905
495,DOCK2,2.2881522160000003
496,DOCK4,0.1974229881399999
497,DRD1,0.08473230270684512
498,DRD2,0.4855073558620141
499,DRD5,0.17245274026844942
500,DTX1,0.0564175136511506
501,DTX2,0.027807598307490702
502,DTX3,0.014734570524901201
503,DTX3L,4.789596306039233e-05
504,DTX4,0.04183508093483141
505,DUSP1,0.49185578299999977
506,DUSP10,2.1725097944
507,DUSP16,2.3039469286
508,DUSP2,2.0738638428
509,DUSP3,2.2098753622
510,DUSP4,2.571267581
511,DUSP5,2.0192104312
512,DUSP6,0.5474657108000001
513,DUSP7,2.5831704786
514,DUSP8,2.4178883341999997
515,DVL1,0.5530258917236186
516,DVL2,0.4309047285772844
517,DVL3,0.4097966680164244
518,E2F4,0.28375743378284884
519,E2F5,0.2287145296973708
520,EBAG9,1.7584417408
521,ECSIT,0.0532942084
522,EDAR,0.000863042323951
523,EDARADD,0.086311372283951
